,name,id,latitude,longitude,altitude,velocity,visibility,footprint,timestamp,daynum,solar_lat,solar_lon,units
0,iss,25544,-17.550101624918,124.63559270936,426.86238323637,27556.752886032,daylight,4542.2126975984,2021-10-13 20:56:44,2459501.3727315,-8.1005642018345,222.34484654376,kilometers
0,iss,25544,-16.019362533628,125.85748528564,426.32740933348,27558.225269405,daylight,4539.5154025558,2021-10-13 20:57:15,2459501.3730903,-8.1006976978901,222.21565887403,kilometers
0,iss,25544,-14.529654482728,127.02060075171,425.82489251508,27559.639618629,daylight,4536.9799684698,2021-10-13 20:57:45,2459501.3734375,-8.1008268874051,222.09063852711,kilometers
0,iss,25544,-12.982603300734,128.20464279958,425.32283680445,27561.087226068,daylight,4534.4451310617,2021-10-13 20:58:16,2459501.3737963,-8.1009603829846,221.96145085795,kilometers
0,iss,25544,-11.428655267679,129.37267807565,424.83970595882,27562.51780062,daylight,4532.0042084578,2021-10-13 20:58:47,2459501.3741551,-8.1010938783193,221.83226318908,kilometers
0,iss,25544,-9.8687016904082,130.52679685229,424.37684111165,27563.928529993,daylight,4529.6641689612,2021-10-13 20:59:18,2459501.3745139,-8.101227373412,221.70307552049,kilometers
0,iss,25544,-8.3541626156843,131.63235300027,423.94936193218,27565.272346239,daylight,4527.5017119054,2021-10-13 20:59:48,2459501.3748611,-8.1013565620004,221.57805517468,kilometers
0,iss,25544,-6.7848818678273,132.76498647707,423.52985396925,27566.6363944,daylight,4525.3783517598,2021-10-13 21:00:19,2459501.3752199,-8.1014900567926,221.448867339,kilometers
0,iss,25544,-5.2120857741707,133.88961013976,423.13391524763,27567.973150429,daylight,4523.3731724301,2021-10-13 21:00:50,2459501.3755787,-8.1016235511615,221.31967967126,kilometers
0,iss,25544,-3.6874294649984,134.97213636803,422.77400984169,27569.238745293,daylight,4521.5495374667,2021-10-13 21:01:20,2459501.3759259,-8.1017527390603,221.19465932629,kilometers
0,iss,25544,-2.1100365541895,136.08657516058,422.42686863184,27570.515595351,daylight,4519.789727839,2021-10-13 21:01:51,2459501.3762847,-8.1018862329584,221.06547165913,kilometers
0,iss,25544,-0.53146834070774,137.19862961948,422.10550264604,27571.759194821,daylight,4518.1598385862,2021-10-13 21:02:22,2459501.3766435,-8.1020197266144,220.93628399226,kilometers
0,iss,25544,0.99656770493469,138.27429930614,421.81950137263,27572.929463127,daylight,4516.7087070685,2021-10-13 21:02:52,2459501.3769907,-8.1021489138126,220.81126364811,kilometers
0,iss,25544,2.5751865916812,139.38710995063,421.55014128924,27574.102988805,daylight,4515.3414905387,2021-10-13 21:03:23,2459501.3773495,-8.1022824069923,220.6820759818,kilometers
0,iss,25544,4.1526814531729,140.50307885511,421.30760192308,27575.238910136,daylight,4514.1099783731,2021-10-13 21:03:54,2459501.3777083,-8.1024159001003,220.55288814811,kilometers
0,iss,25544,5.6774769894312,141.58782733936,421.09850702496,27576.301348904,daylight,4513.0479541209,2021-10-13 21:04:24,2459501.3780556,-8.1025450866087,220.42786780481,kilometers
0,iss,25544,7.2504541607564,142.71552652478,420.90887440512,27577.360250182,daylight,4512.0845181297,2021-10-13 21:04:55,2459501.3784144,-8.1026785790701,220.29868013936,kilometers
0,iss,25544,8.8199425314786,143.85204172433,420.74593541097,27578.378845436,daylight,4511.2564997797,2021-10-13 21:05:26,2459501.3787731,-8.1028120712893,220.1694924742,kilometers
0,iss,25544,10.334700613209,144.96214359957,420.61338523536,27579.325697377,daylight,4510.5827736999,2021-10-13 21:05:56,2459501.3791204,-8.1029412570969,220.04447213171,kilometers
0,iss,25544,11.89488318193,146.12179717316,420.50197277344,27580.263580462,daylight,4510.0163914973,2021-10-13 21:06:27,2459501.3794792,-8.1030747488399,219.91528446712,kilometers
0,iss,25544,13.449046112093,147.29624660562,420.41599352768,27581.160090977,daylight,4509.5792436396,2021-10-13 21:06:58,2459501.379838,-8.1032082403407,219.78609680282,kilometers
0,iss,25544,14.946485631479,148.4488975537,420.35637772816,27581.988283391,daylight,4509.2761062226,2021-10-13 21:07:28,2459501.3801852,-8.1033374254531,219.66107646116,kilometers
0,iss,25544,16.486109848439,149.65872532163,420.31839404359,27582.803529463,daylight,4509.0829519169,2021-10-13 21:07:59,2459501.380544,-8.1034709166532,219.53188862976,kilometers
0,iss,25544,18.016893884057,150.88985185348,420.30354072435,27583.577878437,daylight,4509.0074172028,2021-10-13 21:08:30,2459501.3809028,-8.1036044074356,219.40270096632,kilometers
0,iss,25544,19.537801309104,152.14462378871,420.31082958777,27584.311814108,daylight,4509.0444840071,2021-10-13 21:09:01,2459501.3812616,-8.103737897973,219.27351330315,kilometers
0,iss,25544,20.999214690226,153.3837252491,420.33794430142,27584.984191154,daylight,4509.1823699792,2021-10-13 21:09:31,2459501.3816088,-8.1038670821585,219.14849296261,kilometers
0,iss,25544,22.497439149598,154.69222377706,420.38554991935,27585.640587444,daylight,4509.4244455515,2021-10-13 21:10:02,2459501.3819676,-8.1040005722223,219.01930530002,kilometers
0,iss,25544,23.982359388404,156.03187818842,420.45182075405,27586.258857817,daylight,4509.7614077749,2021-10-13 21:10:33,2459501.3823264,-8.1041340620412,218.89011763772,kilometers
0,iss,25544,25.405493590931,157.36055845499,420.5324719262,27586.821852364,daylight,4510.1714471996,2021-10-13 21:11:03,2459501.3826736,-8.1042632455339,218.76509729801,kilometers
0,iss,25544,26.8603802899,158.76961265658,420.63151918861,27587.368216931,daylight,4510.6749522072,2021-10-13 21:11:34,2459501.3830324,-8.1043967350494,218.6359094686,kilometers
0,iss,25544,28.297871746385,160.21826297873,420.7450892878,27587.879836568,daylight,4511.2521994935,2021-10-13 21:12:05,2459501.3833912,-8.1045302241524,218.50672180716,kilometers
0,iss,25544,29.670960358002,161.66077247449,420.867402809,27588.343132297,daylight,4511.873786628,2021-10-13 21:12:35,2459501.3837384,-8.1046594069471,218.38170146828,kilometers
0,iss,25544,31.069560179947,163.1963960694,421.00510427407,27588.790373141,daylight,4512.5734491085,2021-10-13 21:13:06,2459501.3840972,-8.1047928955737,218.2525138074,kilometers
0,iss,25544,32.445803772534,164.7810271631,421.15273404915,27589.207074948,daylight,4513.3234105499,2021-10-13 21:13:37,2459501.384456,-8.1049263839553,218.12332614681,kilometers
0,iss,25544,33.754568375539,166.36437042759,421.30353827633,27589.582717436,daylight,4514.0893414065,2021-10-13 21:14:07,2459501.3848032,-8.1050555660572,217.99830580876,kilometers
0,iss,25544,35.081116067295,168.05532548616,421.46598770514,27589.943897809,daylight,4514.9142406911,2021-10-13 21:14:38,2459501.385162,-8.1051890539623,217.86911814874,kilometers
0,iss,25544,36.37923749333,169.80546345368,421.63354821844,27590.279267697,daylight,4515.7649009601,2021-10-13 21:15:09,2459501.3855208,-8.1053225418011,217.73993032135,kilometers
0,iss,25544,37.606216022831,171.55879092634,421.79903228141,27590.580802803,daylight,4516.6048278807,2021-10-13 21:15:39,2459501.3858681,-8.1054517232047,217.61490998412,kilometers
0,iss,25544,38.841425340372,173.43558557651,421.97189376566,27590.870228264,daylight,4517.4819960827,2021-10-13 21:16:10,2459501.3862269,-8.1055852103966,217.48572232497,kilometers
0,iss,25544,40.040803560022,175.38183876316,422.14506147435,27591.138778115,daylight,4518.3605099445,2021-10-13 21:16:41,2459501.3865856,-8.1057186973381,217.35653466609,kilometers
0,iss,25544,41.164719449611,177.33452244657,422.31145078877,27591.380346695,daylight,4519.2044394424,2021-10-13 21:17:11,2459501.3869329,-8.105847878049,217.2315143297,kilometers
0,iss,25544,42.285192655585,179.42678611801,422.48065586626,27591.61262501,daylight,4520.0624534265,2021-10-13 21:17:42,2459501.3872917,-8.1059813645193,217.1023266714,kilometers
0,iss,25544,43.360972223728,-178.4025235907,422.64560637399,27591.828853992,daylight,4520.8987018917,2021-10-13 21:18:13,2459501.3876505,-8.106114850742,216.97313901337,kilometers
0,iss,25544,44.356382932237,-176.22498440486,422.79982513936,27592.02428532,daylight,4521.6803730469,2021-10-13 21:18:43,2459501.3879977,-8.1062440307573,216.84811867781,kilometers
0,iss,25544,45.334433477262,-173.89367591975,422.95224638114,27592.21339944,daylight,4522.4527713277,2021-10-13 21:19:14,2459501.3883565,-8.1063775166847,216.71893085271,kilometers
0,iss,25544,46.257586345835,-171.47874224831,423.09631230422,27592.390879717,daylight,4523.1826808851,2021-10-13 21:19:45,2459501.3887153,-8.1065110021886,216.58974319554,kilometers
0,iss,25544,47.095249208399,-169.06178072102,423.2266040393,27592.552827054,daylight,4523.8426798069,2021-10-13 21:20:15,2459501.3890625,-8.1066401815082,216.46472286081,kilometers
0,iss,25544,47.899656829008,-166.48228033286,423.35067499898,27592.711264888,daylight,4524.4710578907,2021-10-13 21:20:46,2459501.3894213,-8.1067736665409,216.33553520422,kilometers
0,iss,25544,48.638209572059,-163.82118074427,423.46294320187,27592.861801852,daylight,4525.0395671646,2021-10-13 21:21:17,2459501.3897801,-8.106907151326,216.20634754791,kilometers
0,iss,25544,49.286782552025,-161.1710154892,423.55942325218,27593.000961295,daylight,4525.528057974,2021-10-13 21:21:47,2459501.3901273,-8.1070363299498,216.08132721401,kilometers
0,iss,25544,49.88515601187,-158.35928749835,423.64568186289,27593.138947258,daylight,4525.9647418461,2021-10-13 21:22:18,2459501.3904861,-8.1071698142637,215.95213955828,kilometers
0,iss,25544,50.407203008171,-155.47876995028,423.71750408644,27593.271851838,daylight,4526.3283023334,2021-10-13 21:22:49,2459501.3908449,-8.1073032985057,215.82295173517,kilometers
0,iss,25544,50.836807899993,-152.63238414686,423.77262135992,27593.396301777,daylight,4526.607279032,2021-10-13 21:23:19,2459501.3911921,-8.1074324764338,215.6979314021,kilometers
0,iss,25544,51.199916333233,-149.63864523222,423.81415078716,27593.52116224,daylight,4526.8174668311,2021-10-13 21:23:50,2459501.3915509,-8.1075659600288,215.56874374723,kilometers
0,iss,25544,51.478554597448,-146.60125439877,423.83954693632,27593.642669887,daylight,4526.9459953779,2021-10-13 21:24:21,2459501.3919097,-8.107699443376,215.43955609263,kilometers
0,iss,25544,51.666012705893,-143.630537735,423.84843666258,27593.757363095,daylight,4526.9909847525,2021-10-13 21:24:51,2459501.3922569,-8.1078286206084,215.31453576039,kilometers
0,iss,25544,51.773491636266,-140.53989740174,423.84118925881,27593.87306008,daylight,4526.9543069305,2021-10-13 21:25:22,2459501.3926157,-8.1079621034844,215.18534810638,kilometers
0,iss,25544,51.792590946448,-137.44022459374,423.81712881673,27593.985927051,daylight,4526.8325387094,2021-10-13 21:25:53,2459501.3929745,-8.1080955861154,215.05616045264,kilometers
0,iss,25544,51.723174360797,-134.34410721902,423.77626268389,27594.095858249,daylight,4526.6257088951,2021-10-13 21:26:24,2459501.3933333,-8.1082290686825,214.92697263155,kilometers
0,iss,25544,51.572169044997,-131.36302590202,423.72083261576,27594.199214432,daylight,4526.3451503174,2021-10-13 21:26:54,2459501.3936806,-8.1083582449819,214.80195230041,kilometers
0,iss,25544,51.330556563686,-128.30997321525,423.64738142053,27594.302507769,daylight,4525.9733453333,2021-10-13 21:27:25,2459501.3940394,-8.1084917268911,214.67276464753,kilometers
0,iss,25544,51.0035904929,-125.29595088514,423.55784973145,27594.40171324,daylight,4525.5200915539,2021-10-13 21:27:56,2459501.3943981,-8.1086252085662,214.54357699496,kilometers
0,iss,25544,50.607926675754,-122.42601795091,423.45634435913,27594.493201351,daylight,4525.0061540299,2021-10-13 21:28:26,2459501.3947454,-8.1087543841698,214.41855666465,kilometers
0,iss,25544,50.119712913082,-119.51768784274,423.3366726051,27594.582295767,daylight,4524.4001457616,2021-10-13 21:28:57,2459501.3951042,-8.1088878653627,214.28936901263,kilometers
0,iss,25544,49.553772596972,-116.67521284003,423.20266865204,27594.664941914,daylight,4523.7214427858,2021-10-13 21:29:28,2459501.395463,-8.1090213463159,214.16018136091,kilometers
0,iss,25544,48.935153691579,-113.99309185849,423.06010115251,27594.737794868,daylight,4522.9992307195,2021-10-13 21:29:58,2459501.3958102,-8.1091505212264,214.03516103144,kilometers
0,iss,25544,48.226000590766,-111.29728815646,422.90035113553,27594.804576269,daylight,4522.1898090054,2021-10-13 21:30:29,2459501.396169,-8.1092840018703,213.90597321261,kilometers
0,iss,25544,47.449374112282,-108.68194844154,422.72896531003,27594.86145426,daylight,4521.3212343462,2021-10-13 21:31:00,2459501.3965278,-8.1094174821073,213.77678556175,kilometers
0,iss,25544,46.637040043602,-106.22971388094,422.55306662241,27594.905767772,daylight,4520.4295769843,2021-10-13 21:31:30,2459501.396875,-8.109546656319,213.65176523311,kilometers
0,iss,25544,45.738460377148,-103.7781751667,422.36208665338,27594.939034017,daylight,4519.461227277,2021-10-13 21:32:01,2459501.3972338,-8.1096801360736,213.5225775828,kilometers
0,iss,25544,44.783385862958,-101.41050340073,422.16299601522,27594.95802393,daylight,4518.4514834934,2021-10-13 21:32:32,2459501.3975926,-8.1098136155885,213.3933899328,kilometers
